Data as of,Start Week,End Week,Sex,Age Years,Total deaths,COVID-19 Deaths
1/4/2021,2/1/2020,1/2/2021,Male,<1 year,9176,21
1/4/2021,2/1/2020,1/2/2021,Male,01 Years,696,6
1/4/2021,2/1/2020,1/2/2021,Male,02 Years,461,2
1/4/2021,2/1/2020,1/2/2021,Male,03 Years,365,1
1/4/2021,2/1/2020,1/2/2021,Male,04 Years,272,2
1/4/2021,2/1/2020,1/2/2021,Male,05 Years,274,4
1/4/2021,2/1/2020,1/2/2021,Male,06 Years,224,1
1/4/2021,2/1/2020,1/2/2021,Male,07 Years,215,4
1/4/2021,2/1/2020,1/2/2021,Male,08 Years,187,2
1/4/2021,2/1/2020,1/2/2021,Male,09 Years,203,3
1/4/2021,2/1/2020,1/2/2021,Male,10 Years,253,1
1/4/2021,2/1/2020,1/2/2021,Male,11 Years,280,4
1/4/2021,2/1/2020,1/2/2021,Male,12 Years,307,7
1/4/2021,2/1/2020,1/2/2021,Male,13 Years,438,4
1/4/2021,2/1/2020,1/2/2021,Male,14 Years,596,2
1/4/2021,2/1/2020,1/2/2021,Male,15 Years,799,4
1/4/2021,2/1/2020,1/2/2021,Male,16 Years,1125,5
1/4/2021,2/1/2020,1/2/2021,Male,17 Years,1435,13
1/4/2021,2/1/2020,1/2/2021,Male,18 Years,2034,11
1/4/2021,2/1/2020,1/2/2021,Male,19 Years,2526,30
1/4/2021,2/1/2020,1/2/2021,Male,20 Years,2670,31
1/4/2021,2/1/2020,1/2/2021,Male,21 Years,3047,39
1/4/2021,2/1/2020,1/2/2021,Male,22 Years,3150,44
1/4/2021,2/1/2020,1/2/2021,Male,23 Years,3297,52
1/4/2021,2/1/2020,1/2/2021,Male,24 Years,3455,64
1/4/2021,2/1/2020,1/2/2021,Male,25 Years,3692,62
1/4/2021,2/1/2020,1/2/2021,Male,26 Years,3920,70
1/4/2021,2/1/2020,1/2/2021,Male,27 Years,4209,97
1/4/2021,2/1/2020,1/2/2021,Male,28 Years,4455,98
1/4/2021,2/1/2020,1/2/2021,Male,29 Years,4737,144
1/4/2021,2/1/2020,1/2/2021,Male,30 Years,4918,124
1/4/2021,2/1/2020,1/2/2021,Male,31 Years,4990,172
1/4/2021,2/1/2020,1/2/2021,Male,32 Years,4905,169
1/4/2021,2/1/2020,1/2/2021,Male,33 Years,5065,186
1/4/2021,2/1/2020,1/2/2021,Male,34 Years,5191,226
1/4/2021,2/1/2020,1/2/2021,Male,35 Years,5312,239
1/4/2021,2/1/2020,1/2/2021,Male,36 Years,5355,242
1/4/2021,2/1/2020,1/2/2021,Male,37 Years,5777,298
1/4/2021,2/1/2020,1/2/2021,Male,38 Years,5813,310
1/4/2021,2/1/2020,1/2/2021,Male,39 Years,6251,347
1/4/2021,2/1/2020,1/2/2021,Male,40 Years,6418,353
1/4/2021,2/1/2020,1/2/2021,Male,41 Years,6375,432
1/4/2021,2/1/2020,1/2/2021,Male,42 Years,6268,437
1/4/2021,2/1/2020,1/2/2021,Male,43 Years,6525,468
1/4/2021,2/1/2020,1/2/2021,Male,44 Years,6666,538
1/4/2021,2/1/2020,1/2/2021,Male,45 Years,7103,631
1/4/2021,2/1/2020,1/2/2021,Male,46 Years,7406,634
1/4/2021,2/1/2020,1/2/2021,Male,47 Years,8174,746
1/4/2021,2/1/2020,1/2/2021,Male,48 Years,9388,876
1/4/2021,2/1/2020,1/2/2021,Male,49 Years,10526,964
1/4/2021,2/1/2020,1/2/2021,Male,50 Years,11152,1054
1/4/2021,2/1/2020,1/2/2021,Male,51 Years,11606,1139
1/4/2021,2/1/2020,1/2/2021,Male,52 Years,12350,1189
